plot.yr,name,corner1,corner2,corner3,corner4,cover,specnum,spname,year,plot,repeat
1.1992,agrohyem,0,0,0,1,1,18,Agrostis hyemalis,1992,1,0
1.1992,ambrarte,3,3,4,0,2,28,Ambrosia artemisiifolia,1992,1,0
1.1992,ambrpsil,3,0,0,4,2,30,Ambrosia psilostachya,1992,1,0
1.1992,ambrtrif,2,0,0,0,2,31,Ambrosia trifida,1992,1,0
1.1992,andrgera,2,2,0,2,2,41,Andropogon gerardii,1992,1,0
1.1992,apoccann,0,0,3,0,2,49,Apocynum cannabinum,1992,1,0
1.1992,arctminu,3,2,2,0,2,52,Arctium minus,1992,1,0
1.1992,arteludo,2,0,2,0,2,66,Artemisia ludoviciana,1992,1,0
1.1992,ascltube,2,0,2,0,2,71,Asclepias tuberosa,1992,1,0
1.1992,astedrum,0,5,0,0,2,78,Symphyotrichum drummondii var. drummondii,1992,1,0
1.1992,asteeric,0,0,0,2,1,79,Symphyotrichum ericoides var. ericoides,1992,1,0
1.1992,bidefron,0,0,0,1,2,101,Bidens frondosa,1992,1,0
1.1992,bromjapo,3,3,5,3,2,111,Bromus arvensis,1992,1,0
1.1992,careamph,2,0,0,0,2,123,Carex amphibola,1992,1,0
1.1992,carebush,4,3,2,0,2,129,Carex bushii,1992,1,0
1.1992,careceph,4,4,0,3,2,131,Carex cephalophora,1992,1,0
1.1992,carefest,2,2,2,3,2,134,Carex festucacea,1992,1,0
1.1992,caregrav,0,0,2,0,1,140,Carex gravida,1992,1,0
1.1992,celtocci,0,0,0,1,1,154,Celtis occidentalis,1992,1,0
1.1992,chenalbu,2,5,3,3,2,175,Chenopodium album,1992,1,0
1.1992,chensimp,0,0,0,2,1,178,Chenopodium simplex,1992,1,0
1.1992,cirsalti,2,0,2,0,2,183,Cirsium altissimum,1992,1,0
1.1992,commvirg,0,0,0,1,1,193,Commelina virginica,1992,1,0
1.1992,conycana,2,0,0,3,2,197,Conyza canadensis,1992,1,0
1.1992,dichacum,2,3,2,2,2,253,Dichanthelium acuminatum,1992,1,0
1.1992,elymcana,3,0,2,0,2,280,Elymus canadensis,1992,1,0
1.1992,elymvirg,2,0,2,0,2,283,Elymus virginicus,1992,1,0
1.1992,fraxpenn,2,0,0,0,1,325,Fraxinus pennsylvanica,1992,1,0
1.1992,galiapar,0,2,0,0,1,330,Galium aparine,1992,1,0
1.1992,geumcana,2,0,0,0,2,342,Geum canadense,1992,1,0
1.1992,helihirs,2,0,0,0,2,357,Helianthus hirsutus,1992,1,0
1.1992,juncinte,0,2,0,0,2,380,Juncus interior,1992,1,0
1.1992,junivirg,0,2,0,0,1,385,Juniperus virginiana,1992,1,0
1.1992,lactserr,2,0,0,3,2,393,Lactuca serriola,1992,1,0
1.1992,lepivirg,3,2,2,3,2,401,Lepidium virginicum,1992,1,0
1.1992,lespvirg,0,0,2,0,1,410,Lespedeza virginica,1992,1,0
1.1992,lolipere,0,0,0,1,1,421,Lolium perenne,1992,1,0
1.1992,muhlsobo,3,5,3,0,6,457,Muhlenbergia sobolifera,1992,1,0
1.1992,oxaldill,3,3,0,3,2,478,Oxalis dillenii,1992,1,0
1.1992,panivirg,0,0,0,4,1,487,Panicum virgatum,1992,1,0
1.1992,paripens,4,4,2,4,3,488,Parietaria pensylvanica,1992,1,0
1.1992,parofast,2,5,0,2,2,489,Paronychia fastigiata,1992,1,0
1.1992,phalcaro,2,0,0,0,1,509,Phalaris caroliniana,1992,1,0
1.1992,physlong,2,0,0,3,1,515,Physalis longifolia,1992,1,0
1.1992,physvirg,0,0,0,1,1,517,Physalis virginiana,1992,1,0
1.1992,phytamer,0,2,2,0,2,518,Phytolacca americana,1992,1,0
1.1992,poaprate,0,2,0,2,2,529,Poa pratensis,1992,1,0
1.1992,polyconv,5,5,2,3,2,538,Polygonum convolvulus,1992,1,0
1.1992,polyvirg,0,0,0,1,1,549,Polygonum virginianum,1992,1,0
1.1992,prunsero,2,2,2,2,2,565,Prunus serotina,1992,1,0
1.1992,quermari,0,2,0,0,4,572,Quercus marilandica,1992,1,0
1.1992,quermueh,0,0,0,1,2,573,Quercus muehlenbergii,1992,1,0
1.1992,querstel,2,2,5,0,8,576,Quercus stellata,1992,1,0
1.1992,rubuflag,2,0,0,0,1,592,Rubus flagellaris,1992,1,0
1.1992,rudbhirt,0,0,0,2,2,594,Rudbeckia hirta,1992,1,0
1.1992,ruelhumi,3,3,2,3,2,595,Ruellia humilis,1992,1,0
1.1992,ruelstre,0,0,3,0,1,596,Ruellia strepens,1992,1,0
1.1992,rumecris,3,0,2,0,2,598,Rumex crispus,1992,1,0
1.1992,salvazur,0,0,0,2,2,606,Salvia azurea var. grandiflora,1992,1,0
1.1992,sanicana,2,2,0,0,2,609,Sanicula canadensis,1992,1,0
1.1992,sennmari,0,0,0,1,1,626,Senna marilandica,1992,1,0
1.1992,setaviri,0,0,0,2,1,629,Setaria viridis,1992,1,0
1.1992,solacaro,2,0,2,3,2,644,Solanum carolinense,1992,1,0
1.1992,soliulmi,3,4,3,2,6,656,Solidago ulmifolia,1992,1,0
1.1992,sorghale,2,0,0,0,1,659,Sorghum halepense,1992,1,0
1.1992,sperdiva,0,0,0,2,2,661,Spermolepis divaricata,1992,1,0
1.1992,symporbi,2,2,2,2,3,679,Symphoricarpos orbiculatus,1992,1,0
1.1992,teuccana,0,2,0,0,2,686,Teucrium canadense,1992,1,0
1.1992,toriarve,0,2,2,3,2,691,Torilis arvensis,1992,1,0
1.1992,tridflav,0,3,2,3,2,698,Tridens flavus,1992,1,0
1.1992,trioperf,0,2,3,2,2,706,Triodanis perfoliata,1992,1,0
1.1992,ulmurubr,0,0,0,1,1,711,Ulmus rubra,1992,1,0
1.1992,vernbald,3,2,2,3,2,773,Vernonia baldwinii,1992,1,0
1.1992,vulpocto,0,0,0,2,2,783,Vulpia octoflora,1992,1,0
2.1992,ageralti,0,4,3,2,2,14,Ageratina altissima,1992,2,0
2.1992,ambrtrif,0,0,2,0,1,31,Ambrosia trifida,1992,2,0
2.1992,amphbrac,2,2,3,2,2,39,Amphicarpaea bracteata,1992,2,0
2.1992,andrgera,4,0,0,4,2,41,Andropogon gerardii,1992,2,0
2.1992,apoccann,2,0,2,3,2,49,Apocynum cannabinum,1992,2,0
2.1992,aristrip,2,0,0,0,1,57,Arisaema triphyllum,1992,2,0
2.1992,astedrum,2,3,2,2,2,78,Symphyotrichum drummondii var. drummondii,1992,2,0
2.1992,brompube,0,2,3,3,2,112,Bromus pubescens,1992,2,0
2.1992,careamph,0,2,4,0,1,123,Carex amphibola,1992,2,0
2.1992,carebush,0,0,0,2,1,129,Carex bushii,1992,2,0
2.1992,careceph,4,0,0,0,1,131,Carex cephalophora,1992,2,0
2.1992,carefest,2,0,0,0,2,134,Carex festucacea,1992,2,0
2.1992,carycord,0,2,0,2,7,148,Carya cordiformis,1992,2,0
2.1992,celtocci,2,4,3,4,2,154,Celtis occidentalis,1992,2,0
2.1992,cerccana,3,2,2,3,2,161,Cercis canadensis,1992,2,0
2.1992,clempitc,2,2,2,2,3,188,Clematis pitcheri,1992,2,0
2.1992,conycana,0,0,0,3,1,197,Conyza canadensis,1992,2,0
2.1992,corndrum,3,4,2,4,3,201,Cornus drummondii,1992,2,0
2.1992,desmglut,0,0,0,1,1,244,Desmodium glutinosum,1992,2,0
2.1992,desmpani,0,4,2,3,3,248,Desmodium paniculatum,1992,2,0
2.1992,dichacum,0,0,0,2,1,253,Dichanthelium acuminatum,1992,2,0
2.1992,elymcana,0,3,0,0,2,280,Elymus canadensis,1992,2,0
2.1992,elymvirg,2,4,2,2,3,283,Elymus virginicus,1992,2,0
2.1992,eupaalti,0,0,0,1,1,304,Eupatorium altissimum,1992,2,0
2.1992,evonatro,0,2,0,2,2,317,Euonymus atropurpureus,1992,2,0
2.1992,festsubv,0,0,2,3,2,321,Festuca subverticillata,1992,2,0
