yr,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,rain12,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,sum.rain.tot,win.rain.tot,spr.rain.tot,sum.rain.avg,win.rain.avg,spr.rain.avg,sum.temp,win.temp,spr.temp,rain.tot,rain.avg,temp.avg
1995,2.0066,2.6162,8.382,14.8336,17.8054,3.7084,24.6888,17.018,4.318,8.0264,13.4366,3.4036,5.94,16.38,30.24,43.02,54.72,83.7,81.72,79.92,65.7,50.76,30.6,12.6,49.7332,26.8732,43.6372,12.4333,6.7183,10.9093,77.76,27.1984,36.09,120.2436,10.0203,46.275
1996,1.143,0.3302,3.7338,6.2484,2.6416,23.6982,4.572,3.3528,11.8364,1.2192,0.254,4.9276,0.9,16.02,21.06,48.24,72.36,71.1,81.36,85.68,63.9,52.92,26.46,9.18,43.4594,7.5438,12.954,10.86485,1.88595,3.2385,75.51,23.7021,39.42,63.9572,5.329766667,45.765
1997,0.7874,10.7442,3.0226,9.271,9.8298,6.731,4.4958,8.8138,20.3962,7.5184,12.2174,0.6604,0.777777778,5.222222222,10.11111111,12.05555556,18.05555556,25.61111111,27.5,26.11111111,20.66666667,15.61111111,6.277777778,3.611111111,40.4368,21.1836,32.8676,10.1092,5.2959,8.2169,24.97222222,8.69275,11.36111111,94.488,7.874,14.30092593
1998,4.7752,1.524,1.7526,10.1346,16.256,18.2626,14.1224,11.7348,7.5692,7.9502,2.032,9.2456,2.611111111,5.444444444,6,13.55555556,21.77777778,22.66666667,25.44444444,24,21.77777778,14.94444444,6.111111111,1.888888889,51.689,24.003,53.2638,12.92225,6.00075,7.4168,23.47222222,8.269761111,11.69444444,105.3592,8.779933333,13.85185185
1999,6.1468,5.2578,8.6614,14.5542,16.1544,4.9022,17.6022,2.6162,13.7668,21.0058,10.3124,4.0894,3.777777778,8.166666667,7.666666667,15.27777778,19,24.77777778,27,26.77777778,25.11111111,15.83333333,11,3.333333333,38.8874,41.5544,58.4835,9.72185,10.3886,11.15695,25.91666667,11.18021667,12.52777778,125.0696,10.42246667,15.64351852
2000,1.8288,6.5278,14.9098,9.4742,15.9512,19.3294,8.6106,5.5118,15.1638,4.9276,0.381,13.7922,2.444444444,7.277777778,10.16666667,14.33333333,20.55555556,22.44444444,26.83333333,26.33333333,19.22222222,15.22222222,12.38888889,4.666666667,48.6156,20.9296,56.0578,12.1539,5.2324,11.71575,23.70833333,10.43799444,13.08333333,116.4082,9.700683333,15.15740741
2001,6.4262,10.1092,4.572,3.2004,14.5796,26.8986,5.1308,0.0254,1.3462,12.0904,4.445,1.524,3.111111111,2.388888889,6.5,17.66666667,19.5,21.94444444,25.44444444,28.61111111,22.88888889,16.88888889,4.666666667,-3.944444444,33.401,24.4856,50.9905,8.35025,6.1214,8.1153,24.72222222,5.202877778,11.51388889,90.3478,7.528983333,13.80555556
2002,0.508,1.6002,1.8542,13.208,11.7094,2.3876,1.3716,1.8288,4.2672,6.1214,2.0574,2.3876,2.777777778,3.833333333,6.944444444,15.22222222,17.83333333,23.27777778,29,27.94444444,21,15.16666667,11.44444444,4.611111111,9.8552,11.0744,53.6194,2.4638,2.7686,7.09295,25.30555556,11.10755556,10.95833333,49.3014,4.10845,14.9212963
2003,0.0508,3.5052,11.8364,6.9596,15.621,8.7376,4.5466,9.4488,11.5062,5.8166,0.889,4.2418,0.444444444,1.5,8.055555556,15.5,19.05555556,23.72222222,26,25.16666667,22.38888889,11.94444444,7.166666667,3.277777778,34.2392,10.9982,56.03875,8.5598,2.74955,9.48055,24.31944444,7.337122222,11.02777778,83.1596,6.929966667,13.68518519
2004,5.969,4.7244,15.7988,9.6012,4.699,20.4216,2.032,24.0284,6.731,7.0612,4.4958,6.1722,1,2.611111111,11,14.88888889,20.44444444,21.88888889,26.94444444,26.55555556,18.88888889,15.44444444,8.611111111,3.833333333,53.213,23.6982,52.86375,13.30325,5.92455,8.70585,23.56944444,9.372522222,12.23611111,111.7346,9.311216667,14.34259259
