"plot","burn_date"
205,1998-01-28
205,2007-09-11
206,1993-04-09
206,1994-03-18
206,1995-03-30
206,1997-04-19
206,2001-04-10
206,2003-03-23
206,2007-04-02
208,1995-12-15
208,2000-11-27
208,2004-12-09
220,1994-09-19
220,2001-03-17
220,2004-03-12
220,2007-03-10
222,1993-04-09
222,1994-03-18
222,1995-03-30
222,1996-04-16
222,1999-11-29
222,2006-03-25
226,1993-04-09
226,1994-03-18
226,1995-03-30
226,1999-11-29
226,2006-03-25
226,2009-04-11
238,1993-03-27
238,1994-03-19
238,1999-04-06
238,2000-03-31
238,2002-03-28
238,2004-12-14
244,1993-04-10
244,1994-03-30
244,2004-12-09
244,2008-08-06
254,1994-04-18
254,1997-03-21
254,1998-03-23
254,1999-04-06
254,2000-03-31
254,2001-08-27
254,2004-09-09
254,2008-04-05
259,1991-12-18
259,1993-03-27
259,1994-03-19
259,1997-03-21
259,1999-04-06
259,2000-03-31
259,2001-03-30
259,2003-03-26
259,2008-04-05
303,1993-03-11
303,1994-03-05
303,1995-03-17
303,1996-04-06
303,1998-03-22
303,2000-03-30
303,2003-03-15
303,2004-03-19
303,2005-04-02
303,2006-04-12
303,2008-03-10
307,1995-03-09
307,1996-04-06
307,1998-03-22
307,2001-03-17
307,2004-09-01
308,1996-04-01
308,1997-03-12
308,1998-03-21
308,1999-03-24
308,2000-03-20
308,2001-03-21
308,2002-03-12
308,2003-03-13
308,2004-03-12
308,2005-03-14
308,2006-03-25
308,2008-03-26
308,2009-03-25
309,1993-04-16
309,1994-03-03
309,1996-04-01
309,1997-03-12
309,1998-03-21
309,1999-03-24
309,2000-03-20
309,2001-03-21
309,2002-03-12
309,2003-03-13
309,2004-03-12
309,2005-03-14
309,2006-03-25
309,2008-03-26
309,2009-03-25
317,1993-03-06
317,1995-03-09
317,1996-04-01
317,1998-03-22
317,2001-03-17
317,2004-03-09
319,1993-03-25
319,1994-03-06
319,1995-03-24
319,1996-04-24
319,1998-03-22
319,2002-03-27
319,2005-04-02
319,2009-04-08
331,1995-04-05
331,2005-04-02
331,2008-04-07
343,1993-04-16
343,1994-03-03
343,1995-03-16
343,1996-04-10
343,1998-03-21
343,2008-08-04
346,1993-03-27
346,1994-03-19
