plot,year,L1
1,1998,60
1,1999,78
1,2000,75
1,2001,78
1,2002,84
1,2003,78
1,2004,72
1,2005,77
1,2006,58
1,2007,69
1,2008,80
1,2009,86
2,1998,68
2,1999,80
2,2000,68
2,2001,81
2,2002,81
2,2003,86
2,2004,91
2,2005,99
2,2006,81
2,2007,102
2,2008,87
2,2009,89
3,1998,70
3,1999,80
3,2000,75
3,2001,75
3,2002,77
3,2003,71
3,2004,73
3,2005,73
3,2006,74
3,2007,71
3,2008,77
3,2009,67
4,1998,52
4,1999,67
4,2000,78
4,2001,77
4,2002,67
4,2003,75
4,2004,80
4,2005,91
4,2006,69
4,2007,91
4,2008,80
4,2009,83
5,1998,69
5,1999,68
5,2000,80
5,2001,102
5,2002,96
5,2003,98
5,2004,98
5,2005,102
5,2006,81
5,2007,102
5,2008,101
5,2009,81
6,1998,58
6,1999,62
6,2000,73
6,2001,81
6,2002,84
6,2003,76
6,2004,95
6,2005,69
6,2006,77
6,2007,90
6,2008,74
6,2009,74
7,1998,75
7,1999,74
7,2000,82
7,2001,104
7,2002,92
7,2003,98
7,2004,92
7,2005,100
7,2006,80
7,2007,98
7,2008,93
7,2009,80
8,1998,68
8,1999,79
8,2000,69
8,2001,84
8,2002,84
8,2003,91
8,2004,96
8,2005,84
8,2006,86
8,2007,96
8,2008,88
8,2009,103
9,1998,56
9,1999,55
9,2000,61
9,2001,48
9,2002,55
9,2003,59
9,2004,50
9,2005,60
9,2006,57
9,2007,63
9,2008,57
9,2009,45
10,1998,60
10,1999,67
10,2000,64
10,2001,74
10,2002,60
10,2003,61
10,2004,59
10,2005,62
10,2006,51
10,2007,60
10,2008,61
10,2009,76
11,1998,80
11,1999,88
11,2000,91
11,2001,96
11,2002,99
11,2003,86
11,2004,85
11,2005,82
11,2006,77
11,2007,90
11,2008,87
11,2009,86
12,1998,73
12,1999,91
12,2000,81
12,2001,97
12,2002,73
12,2003,86
12,2004,79
12,2005,94
12,2006,77
12,2007,104
12,2008,88
12,2009,99
13,1998,49
13,1999,64
13,2000,57
13,2001,60
13,2002,58
13,2003,58
13,2004,58
13,2005,56
13,2006,54
13,2007,58
13,2008,59
13,2009,58
14,1998,77
14,1999,94
14,2000,96
14,2001,88
14,2002,77
14,2003,78
14,2004,74
14,2005,79
14,2006,65
14,2007,82
14,2008,81
14,2009,71
15,1998,68
15,1999,69
15,2000,66
15,2001,85
15,2002,64
15,2003,88
15,2004,84
15,2005,81
15,2006,71
15,2007,88
15,2008,80
15,2009,65
16,1998,57
16,1999,65
16,2000,65
16,2001,78
16,2002,73
16,2003,83
16,2004,71
16,2005,72
16,2006,76
16,2007,82
16,2008,77
16,2009,72
17,1998,79
17,1999,75
17,2000,72
17,2001,90
17,2002,83
17,2003,79
17,2004,71
17,2005,77
17,2006,68
17,2007,96
17,2008,87
17,2009,87
18,1998,54
18,1999,61
18,2000,64
18,2001,79
18,2002,74
18,2003,78
18,2004,72
18,2005,78
18,2006,65
18,2007,81
18,2008,69
18,2009,77
19,1998,69
19,1999,74
19,2000,77
19,2001,84
19,2002,68
19,2003,69
19,2004,63
19,2005,66
19,2006,59
19,2007,71
19,2008,71
19,2009,72
20,1998,60
20,1999,72
20,2000,68
20,2001,94
20,2002,76
20,2003,82
20,2004,81
20,2005,92
20,2006,84
20,2007,93
20,2008,81
20,2009,92
