shrt,sp,family,nat/intr,life form,Habit
acalgrac,Acalypha gracilens,Euphorbiaceae,N,A,F
acalvirg,Acalypha virginica,Euphorbiaceae,N,A,F
achimill,Achillea millefolium,Asteraceae,N,P,F
aegicyli,Aegilops cylindrica,Poaceae,I,A,C4
agalhete,Agalinis heterophylla,Scrophulariaceae,N,A,F
agriparv,Agrimonia parviflora,Rosaceae,N,P,F
agroelli,Agrostis elliottiana,Poaceae,N,A,C3
agrohyem,Agrostis hyemalis,Poaceae,N,P,C3
allicana,Allium canadense,Liliaceae,N,P,F
alopcaro,Alopecurus carolinianus,Poaceae,N,A,C3
ambrarte,Ambrosia artemisiifolia,Asteraceae,N,A,F
ambrbide,Ambrosia bidentata,Asteraceae,N,A,F
ambrpsil,Ambrosia psilostachya,Asteraceae,N,P,F
amorcane,Amorpha canescens,Fabaceae,N,S,L
amorfrut,Amorpha fruticosa,Fabaceae,N,S,L
amphdrac,Amphiachyris dracunculoides,Asteraceae,N,A,F
anagmini,Anagallis minima,Primulaceae,N,A,F
andrgera,Andropogon gerardii,Poaceae,N,P,C4
andrvirg,Andropogon virginicus,Poaceae,N,P,C4
anemcaro,Anemone caroliniana,Ranunculaceae,N,P,F
antenegl,Antennaria neglecta,Asteraceae,N,P,F
apoccann,Apocynum cannabinum,Apocynaceae,N,P,F
arenserp,Arenaria serpyllifolia,Caryophyllaceae,I,A,F
arisolig,Aristida oligantha,Poaceae,N,A,C4
arispurp,Aristida purpurascens,Poaceae,N,P,C4
arnoplan,Arnoglossum plantagineum,Asteraceae,N,P,F
arteludo,Artemisia ludoviciana,Asteraceae,N,P,F
asclsten,Asclepias stenophylla,Asclepiadaceae,N,P,F
ascltube,Asclepias tuberosa,Asclepiadaceae,N,P,F
asclvert,Asclepias verticillata,Asclepiadaceae,N,P,F
asclviri,Asclepias viridis,Asclepiadaceae,N,P,F
asteeric,Aster ericoides,Asteraceae,N,P,F
asteoole,Aster oolentangiensis,Asteraceae,N,P,F
astepate,Aster patens,Asteraceae,N,P,F
astepilo,Aster pilosus,Asteraceae,N,P,F
asteprae,Aster praealtus,Asteraceae,N,P,F
astrcras,Astragalus crassicarpus,Fabaceae,N,P,L
astrnutt,Astragalus nuttallianus,Fabaceae,N,P,L
baptalba,Baptisia alba,Fabaceae,N,P,L
baptaust,Baptisia australis,Fabaceae,N,P,L
baptbrac,Baptisia bracteata,Fabaceae,N,P,L
bidefron,Bidens frondosa,Asteraceae,N,A,F
bothsacc,Bothriochloa saccharoides,Poaceae,N,P,C4
boutcurt,Bouteloua curtipendula,Poaceae,N,P,C4
bouthirs,Bouteloua hirsuta,Poaceae,N,P,C4
briceupa,Brickellia eupatorioides,Asteraceae,N,P,F
bromjapo,Bromus japonicus,Poaceae,I,A,C3
buchdact,Buchloe dactyloides,Poaceae,N,P,C4
callalca,Callirhoe alcaeoides,Malvaceae,N,P,F
calyserr,Calylophus serrulatus,Onagraceae,N,P,F
careamph,Carex amphibola,Cyperaceae,N,P,C3
careanne,Carex annectens,Cyperaceae,N,P,C3
carebush,Carex bushii,Cyperaceae,N,P,C3
careceph,Carex cephalophora,Cyperaceae,N,P,C3
carefest,Carex festucacea,Cyperaceae,N,P,C3
carefran,Carex frankii,Cyperaceae,N,P,C3
caregrav,Carex gravida,Cyperaceae,N,P,C3
caremicr,Carex microdonta,Cyperaceae,N,P,C3
celtocci,Celtis occidentalis,Ulmaceae,N,T,W
cerafont,Cerastium fontanum,Caryophyllaceae,I,A,F
cerccana,Cercis canadensis,Fabaceae,N,T,L
chaeaste,Chaetopappa asteroides,Asteraceae,N,A,F
chaetain,Chaerophyllum tainturieri,Apiaceae,N,A,F
chamfasc,Chamaecrista fasciculata,Fabaceae,N,A,L
chammacu,Chamaesyce maculata,Euphorbiaceae,N,A,F
chamnuta,Chamaesyce nutans,Euphorbiaceae,N,A,F
chlovert,Chloris verticillata,Poaceae,N,P,C4
chrypilo,Chrysopsis pilosa,Asteraceae,N,A,F
cirsalti,Cirsium altissimum,Asteraceae,N,P,F
cirsundu,Cirsium undulatum,Asteraceae,N,P,F
cirsvulg,Cirsium vulgare,Asteraceae,I,A,F
conycana,Conyza canadensis,Asteraceae,N,A,F
coregran,Coreopsis grandiflora,Asteraceae,N,P,F
crotcapi,Croton capitatus,Euphorbiaceae,N,A,F
crotglan,Croton glandulosus,Euphorbiaceae,N,A,F
crotmona,Croton monanthogynus,Euphorbiaceae,N,A,F
crotsagi,Crotalaria sagittalis,Fabaceae,N,P,L
crotwill,Croton willdenowii,Euphorbiaceae,N,A,F
cuscpent,Cuscuta pentagona,Cuscutaceae,N,P,F
cynodact,Cynodon dactylon,Poaceae,I,P,C4
cypeechi,Cyperus echinatus,Cyperaceae,N,P,C3
cypelupu,Cyperus lupulinus,Cyperaceae,N,P,C3
cypepseu,Cyperus pseudovegetus,Cyperaceae,N,P,C3
cypeseti,Cyperus setigerus,Cyperaceae,N,P,C3
cypesqua,Cyperus squarrosus,Cyperaceae,N,A,C3
cypestri,Cyperus strigosus,Cyperaceae,N,P,C3
dalecand,Dalea candida,Fabaceae,N,P,L
dalemult,Dalea multiflora,Fabaceae,N,P,L
dalepurp,Dalea purpurea,Fabaceae,N,P,L
daucpusi,Daucus pusillus,Apiaceae,N,A,F
delpcaro,Delphinium carolinianum,Ranunculaceae,N,P,F
desmcili,Desmodium ciliare,Fabaceae,N,P,L
desmilli,Desmanthus illinoensis,Fabaceae,N,P,L
desmills,Desmodium illinoense,Fabaceae,N,P,L
desmlept,Desmanthus leptolobus,Fabaceae,N,P,L
desmmari,Desmodium marilandicum,Fabaceae,N,P,L
desmpani,Desmodium paniculatum,Fabaceae,N,P,L
desmsess,Desmodium sessilifolium,Fabaceae,N,P,L
dichacum,Dichanthelium acuminatum,Poaceae,N,P,C3
dicholig,Dichanthelium oligosanthes,Poaceae,N,P,C3
dichspha,Dichanthelium sphaerocarpon,Poaceae,N,P,C3
digicogn,Digitaria cognata,Poaceae,N,P,C4
digisang,Digitaria sanguinalis,Poaceae,I,A,C4
diodtere,Diodia teres,Rubiaceae,N,A,F
drabbrac,Draba brachycarpa,Brassicaceae,N,A,F
drabcune,Draba cuneifolia,Brassicaceae,N,A,F
dracampl,Dracopis amplexicaulis,Asteraceae,N,A,F
echipall,Echinacea pallida,Asteraceae,N,P,F
eleomont,Eleocharis montevidensis,Cyperaceae,N,P,C3
elymcana,Elymus canadensis,Poaceae,N,P,C3
elymvirg,Elymus virginicus,Poaceae,N,P,C3
eragspec,Eragrostis spectabilis,Poaceae,N,P,C4
erigphil,Erigeron philadelphicus,Asteraceae,N,P,F
erigstri,Erigeron strigosus,Asteraceae,N,A,F
eupaalti,Eupatorium altissimum,Asteraceae,N,P,F
euphcoro,Euphorbia corollata,Euphorbiaceae,N,P,F
euphdent,Euphorbia dentata,Euphorbiaceae,N,A,F
euphmarg,Euphorbia marginata,Euphorbiaceae,N,A,F
euphspat,Euphorbia spathulata,Euphorbiaceae,N,A,F
euphtetr,Euphorbia tetrapora,Euphorbiaceae,N,A,F
euthgymn,Euthamia gymnospermoides,Asteraceae,N,P,F
festprat,Festuca pratensis,Poaceae,I,P,C3
fimbpube,Fimbristylis puberula,Cyperaceae,N,P,C3
fragvirg,Fragaria virginiana,Rosaceae,N,P,F
galaregu,Galactia regularis,Fabaceae,N,P,L
galiapar,Galium aparine,Rubiaceae,N,A,F
galivirg,Galium virgatum,Rubiaceae,N,A,F
gamopurp,Gamochaeta purpurea,Asteraceae,N,P,F
geracaro,Geranium carolinianum,Geraniaceae,N,A,F
geumcana,Geum canadense,Rosaceae,N,P,F
glancana,Glandularia canadensis,Verbenaceae,N,P,F
grinlanc,Grindelia lanceolata,Asteraceae,N,P,F
hackvirg,Hackelia virginiana,Boraginaceae,N,P,F
hedehisp,Hedeoma hispida,Lamiaceae,N,A,F
helihirs,Helianthus hirsutus,Asteraceae,N,P,F
helimoll,Helianthus mollis,Asteraceae,N,P,F
hierlong,Hieracium longipilum,Asteraceae,N,P,F
hordpusi,Hordeum pusillum,Poaceae,N,A,C3
houspusi,Houstonia pusilla,Rubiaceae,N,A,F
hypedrum,Hypericum drummondii,Clusiaceae,N,A,F
hypeperf,Hypericum perforatum,Clusiaceae,I,P,F
hypepunc,Hypericum punctatum,Clusiaceae,N,P,F
hypohirs,Hypoxis hirsuta,Liliaceae,N,P,F
isolcari,Isolepis carinatus,Cyperaceae,,,C3
ivaannua,Iva annua,Asteraceae,N,A,F
juncinte,Juncus interior,Juncaceae,N,P,C3
juncmarg,Juncus marginatus,Juncaceae,N,P,C3
junctenu,Juncus tenuis,Juncaceae,N,P,C3
junctorr,Juncus torreyi,Juncaceae,N,P,C3
junivirg,Juniperus virginiana,Cupressaceae,N,T,W
koelmacr,Koeleria macrantha,Poaceae,N,P,C3
krigcesp,Krigia cespitosa,Asteraceae,N,A,F
kummstip,Kummerowia stipulacea,Fabaceae,I,A,L
kummstri,Kummerowia striata,Fabaceae,I,A,L
lactserr,Lactuca serriola,Asteraceae,N,A,F
lepivirg,Lepidium virginicum,Brassicaceae,N,A,F
lespcapi,Lespedeza capitata,Fabaceae,N,P,L
lespcune,Lespedeza cuneata,Fabaceae,I,P,L
lespproc,Lespedeza procumbens,Fabaceae,N,P,L
lespviol,Lespedeza violacea,Fabaceae,N,P,L
lespvirg,Lespedeza virginica,Fabaceae,N,P,L
liataspe,Liatris aspera,Asteraceae,N,P,F
linusulc,Linum sulcatum,Linaceae,N,A,F
lithinci,Lithospermum incisum,Boraginaceae,N,P,F
lomafoen,Lomatium foeniculaceum,Apiaceae,N,P,F
lotuunif,Lotus unifoliolatus,Fabaceae,N,A,L
lythalat,Lythrum alatum,Lythraceae,N,P,F
malvhisp,Malvastrum hispidum,Malvaceae,N,A,F
medilupu,Medicago lupulina,Fabaceae,I,A,L
melioffi,Melilotus officinalis,Fabaceae,I,A,L
mimoquad,Mimosa quadrivalvis,Fabaceae,N,P,L
minupatu,Minuartia patula,Caryophyllaceae,N,A,F
miraalbi,Mirabilis albida,Nyctaginaceae,N,P,F
monacitr,Monarda citriodora,Lamiaceae,N,A,F
monafist,Monarda fistulosa,Lamiaceae,N,P,F
muhlschr,Muhlenbergia schreberi,Poaceae,N,P,C4
myosvern,Myosotis verna,Boraginaceae,N,A,F
nemagemi,Nemastylis geminiflora,Iridaceae,N,P,F
nothbiva,Nothoscordum bivalve,Liliaceae,N,P,F
nuttcana,Nuttallanthus canadensis,Scrophulariaceae,N,A,F
oenolaci,Oenothera laciniata,Onagraceae,N,P,F
oenolini,Oenothera linifolia,Onagraceae,N,A,F
oenospec,Oenothera speciosa,Onagraceae,N,P,F
ophienge,Ophioglossum engelmannii,Ophioglossaceae,N,P,F
opunmacr,Opuntia macrorhiza,Cactaceae,N,P,W
oxaldill,Oxalis dillenii,Oxalidaceae,N,P,F
oxalviol,Oxalis violacea,Oxalidaceae,N,P,F
paniance,Panicum anceps,Poaceae,N,P,C4
panicapi,Panicum capillare,Poaceae,N,A,C4
panivirg,Panicum virgatum,Poaceae,N,P,C4
pasppubi,Paspalum pubiflorum,Poaceae,N,P,C4
paspseta,Paspalum setaceum,Poaceae,N,P,C4
pediescu,Pediomelum esculentum,Fabaceae,N,P,L
penstubi,Penstemon tubiflorus,Scrophulariaceae,N,P,F
periamer,Perideridia americana,Apiaceae,N,P,F
phalcaro,Phalaris caroliniana,Poaceae,N,A,C3
physangu,Physalis angulata,Solanaceae,N,A,F
physpumi,Physalis pumila,Solanaceae,N,P,F
physvirg,Physalis virginiana,Solanaceae,N,P,F
planaris,Plantago aristata,Plantaginaceae,N,A,F
planpata,Plantago patagonica,Plantaginaceae,N,A,F
planvirg,Plantago virginica,Plantaginaceae,N,A,F
poaannua,Poa annua,Poaceae,I,A,C3
poaprate,Poa pratensis,Poaceae,N,P,C3
polyaren,Polygonum arenastrum,Polygonaceae,N,A,F
polyavic,Polygonum aviculare,Polygonaceae,N,A,F
polyconv,Polygonum convolvulus,Polygonaceae,N,P,F
polyhydr,Polygonum hydropiperoides,Polygonaceae,N,P,F
polyinca,Polygala incarnata,Polygalaceae,N,A,F
polynutt,Polytaenia nuttallii,Apiaceae,N,P,F
polyvert,Polygala verticillata,Polygalaceae,N,A,F
prenaspe,Prenanthes aspera,Asteraceae,N,P,F
prunmexi,Prunus mexicana,Rosaceae,N,T,W
psortenu,Psoralidium tenuiflorum,Fabaceae,N,P,L
pyrrcaro,Pyrrhopappus carolinianus,Asteraceae,N,A,F
raticolu,Ratibida columnifera,Asteraceae,N,P,F
rhuscopa,Rhus copallinum,Anacardiaceae,N,S,W
rhynharv,Rhynchospora harveyi,Cyperaceae,N,P,C3
rosacaro,Rosa carolina,Rosaceae,N,S,W
rubuostr,Rubus ostryifolius,Rosaceae,N,S,W
rudbhirt,Rudbeckia hirta,Asteraceae,N,P,F
ruelhumi,Ruellia humilis,Acanthaceae,N,P,F
rumecris,Rumex crispus,Polygonaceae,I,P,F
rumehast,Rumex hastatulus,Polygonaceae,N,A,F
sabacamp,Sabatia campestris,Gentianaceae,N,A,F
salvazur,Salvia azurea,Lamiaceae,N,P,F
saniodor,Sanicula odorata,Apiaceae,N,A,F
schepani,Schedonnardus paniculatus,Poaceae,N,P,C4
schiscop,Schizachyrium scoparium,Poaceae,N,P,C4
scirpend,Scirpus pendulus,Cyperaceae,N,P,C3
sclepauc,Scleria pauciflora,Cyperaceae,N,P,C3
scutparv,Scutellaria parvula,Lamiaceae,N,P,F
seneplat,Senecio plattensis,Asteraceae,N,P,F
setaparv,Setaria parviflora,Poaceae,N,P,C4
setaviri,Setaria viridis,Poaceae,I,A,C4
sibavirg,Sibara virginica,Brassicaceae,N,A,F
sileanti,Silene antirrhina,Caryophyllaceae,N,A,F
silestel,Silene stellata,Caryophyllaceae,N,P,F
sisycamp,Sisyrinchium campestre,Iridaceae,N,P,F
solacaro,Solanum carolinense,Solanaceae,N,P,F
solarost,Solanum rostratum,Solanaceae,N,A,F
solicana,Solidago canadensis,Asteraceae,N,P,F
solinemo,Solidago nemoralis,Asteraceae,N,P,F
solirigi,Solidago rigida,Asteraceae,N,P,F
sorgnuta,Sorghastrum nutans,Poaceae,N,P,C4
sperdiva,Spermolepis divaricata,Apiaceae,N,A,F
speriner,Spermolepis inermis,Apiaceae,N,A,F
spheobtu,Sphenopholis obtusata,Poaceae,N,P,C3
sporcomp,Sporobolus compositus,Poaceae,N,P,C4
sporvagi,Sporobolus vaginiflorus,Poaceae,N,A,C4
stroleio,Strophostyles leiosperma,Fabaceae,N,P,L
