plot,yr,plotnum,yr.plot,205,206,208,220,222,226,238,244,254,259,303,307,308,309,317,319,331,343,346,350,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,OrBis,ChBis,bison,cattle,YrsOB,BP5Yrs,YrsSLB,burn,spring,summer,fall,slope,northness,eastness,OM,pH,SolS,logP,logCa,logFe,logMg,logK,logNa,logB,logMn,logCu,logZn,logAl,PDSIavg,SodTemp,SPI1,SPI12,SPI24,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,rain12,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,sum.rain,win.rain,spr.rain,sum.temp,win.temp,spr.temp,rain.avg,temp.avg,rich1,rich2,rich3,rich4,rich5,A.cov,P.cov,S.cov,T.cov,A.p,P.p,S.p,T.p,ForbLeg.cov,Forb.cov,Gsum.cov,G3.cov,G4.cov,Leg.cov,Wood.cov,F.p,Gsum.p,G3.p,G4.p,L.p,W.p
205,1998,205.1998,1998.205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.668493151,1,0.38630137,1,0,0,1,3,-0.899879974,0.436137629,7.52,6.9,87,1.113943352,3.67292869,2.120573931,2.750508395,2.357934847,1.531478917,0.012837225,1.763427994,0.645422269,0.898176483,2.774516966,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,59,34.5,21.75,12.25,4.25,32,81,4,0,17,40,2,0,76,58,39,22,17,18,2,30,19,11,8,9,1
206,1998,206.1998,1998.206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.076712329,2,3.221917808,0,0,0,0,1,0.771061029,0.636761251,5.87,6.6,33,1.079181246,3.461648568,2.139879086,2.619093331,2.303196057,1.342422681,-0.086186148,1.77815125,0.348304863,0.733197265,2.7084209,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,66,33.75,19.5,10,2.75,14,117,4,0,8,56,2,0,75,49,55,30,25,26,5,26,25,15,10,13,2
208,1998,208.1998,1998.208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.668493151,1,2.509589041,0,0,0,0,5,-0.083989475,0.996466642,6.77,7.3,48,0.903089987,3.620864475,2.053078443,2.711807229,2.315970345,2.318063335,0.133538908,1.968482949,0.423245874,0.475671188,2.69019608,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,70,35.75,20.75,9.5,3,36,101,2,0,21,48,1,0,86,66,51,29,22,20,2,39,20,12,8,10,1
220,1998,220.1998,1998.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.668493151,1,3.747945205,0,0,0,0,4,-0.999020813,-0.044242678,7.02,6.9,35,0.954242509,3.610340711,2.348304863,2.646403726,2.190331698,1.462397998,0.029383778,1.86923172,0.519827994,0.639486489,2.699837726,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,52,26.75,14.75,7.75,2.75,10,94,2,0,5,46,1,0,54,43,52,30,22,11,0,23,23,15,8,6,0
222,1998,222.1998,1998.222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.079452055,3,2.175342466,0,0,0,0,2,-0.432177945,0.901788348,4.73,6,38,0.84509804,3.420945406,2.190331698,2.5774918,2.309630167,1.397940009,-0.065501549,1.707570176,0.511883361,0.540329475,2.809559715,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,68,39,20,10.5,5.25,14,128,4,0,7,59,2,0,77,59,67,36,31,18,2,30,28,18,10,9,1
226,1998,226.1998,1998.226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.306849315,2,3.224657534,0,0,0,0,4,-0.494898415,0.868950838,5.63,5.8,42,1.113943352,3.387923467,2.390935107,2.658964843,2.130333768,1.380211242,0.158362492,1.477121255,0.382017043,0.752048448,2.7930916,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,58,31.25,17.25,7.75,2.75,4,121,5,0,2,54,2,0,75,52,49,27,22,23,6,24,21,14,7,11,2
238,1998,238.1998,1998.238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4.254794521,0,0,0,0,5,-0.903692205,-0.428182669,5.56,6,32,0.903089987,3.344195716,2.357934847,2.408239965,2.053078443,1.591064607,-0.065501549,1.462397998,0.399673721,0.655138435,2.756636108,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,75,40.75,23.25,10.5,2.75,36,116,2,0,17,57,1,0,85,65,68,41,27,20,1,34,31,21,10,9,1
244,1998,244.1998,1998.244,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4.221917808,0,0,0,0,1,0.984381951,-0.176045946,4.29,6.1,27,1,3.283979284,2.222716471,2.542825427,2.278753601,1.204119983,-0.086186148,1.361727836,0.178976947,0.606381365,2.771587481,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,67,35.5,19,9,4.25,23,117,1,0,12,54,1,0,74,53,66,34,32,21,1,27,28,17,11,11,1
254,1998,254.1998,1998.254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.24109589,1,1,0,0,5,-0.866767091,0.498713154,6.25,6.8,35,1,3.621591676,2.477121255,2.562292864,2.309630167,1.447158031,0.053078443,1.707570176,0.542825427,0.639486489,2.631443769,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,55,30.5,21,11.75,4.25,28,87,2,0,13,41,1,0,54,47,61,34,27,7,2,22,28,17,11,4,1
259,1998,259.1998,1998.259,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1.246575342,0,0,0,0,2,-0.962605866,0.270905788,6.08,6.2,30,0.84509804,3.613947477,2.004321374,2.522444234,2.389166084,1.361727836,-0.086186148,1.977723605,0.320146286,0.498310554,2.844477176,2.813749999,72.4,-1.33,-0.1,0.25,1.88,0.6,0.69,3.99,6.4,7.19,5.56,4.62,2.98,3.13,0.8,3.64,36.7,41.8,42.8,56.4,71.2,72.8,77.8,75.2,71.2,58.9,43,35.4,5.0875,2.3625,20.97,74.25,43.5,53.05,3.456666667,56.93333333,60,35.25,21.75,9.75,4,20,96,2,0,12,47,1,0,65,49,53,20,33,16,0,27,25,11,14,8,0
