"plot","plot_yr","yr","repeat_plot","grid_plot","date_samp","jul_day","easting","northing","coord_comments","grassht","forbht","woodyht","woodypct","basal_area","density","dens_c1","dens_c2","dens_c3","dens_c4","avgdens","stddens","waterpct","rockpct","barepct","slope","aspect","TEC","PH","ORG","S","BCA","BMG","BK","BNA","BH","rain6","rain7","rain8","rain9","rain10","rain11","rain12","rain1","rain2","rain3","rain4","rain5","temp6","temp7","temp8","temp9","temp10","temp11","temp12","temp1","temp2","temp3","temp4","temp5","OrBis","bison","YrsOB","BP5Yrs","YrsSLB","burn","date_of_burn","jul_day_burn","logP","logCA","logMG","logK","logNA.","logB","logFE","logMN","logCU","logZN","logAL","eastness","northness"
205,205.1998,1998,1,1,1998-06-18,169,727000,4080000,"",0.5,0.8,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,3,298,28.97,6.9,7.52,"87",81.27,16.19,2.02,0.51,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,4.668493151,1,0.38630137,1,1998-01-28,28,1.11394335230684,3.67292869044272,2.75050839485135,2.35793484700045,1.53147891704226,0.307496037913213,2.12057393120585,1.76342799356294,0.645422269349092,0.898176483497677,2.77451696572855,0.436137629146049,-0.899879974464853
206,206.1998,1998,1,1,1998-06-18,169,730000,4076000,"",1,1.2,0.7,2,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,296,19.01,6.6,5.87,"33",76.14,18.24,2.71,0.5,2.41,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,2.076712329,2,3.221917808,0,NA,NA,1.07918124604762,3.46164856806346,2.61909333062674,2.30319605742049,1.34242268082221,0.260071387985075,2.13987908640124,1.77815125038364,0.348304863048161,0.733197265106569,2.70842090013471,0.636761250564552,0.771061028570027
208,208.1998,1998,1,1,1998-06-18,169,728000,4078000,"",0.8,0.9,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,5,5,209,26.61,7.3,6.77,"48",78.49,16.13,1.99,3.4,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,4.668493151,1,2.509589041,0,NA,NA,0.903089986991944,3.62086447526512,2.71180722904119,2.31597034545692,2.31806333496276,0.372912002970107,2.05307844348342,1.96848294855394,0.423245873936808,0.47567118832443,2.69019608002851,0.996466641766108,-0.0839894746225687
220,220.1998,1998,1,1,1998-06-18,169,728000,4080000,"",0.7,0.6,0.6,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,0,4,110,24.6,6.9,7.02,"35",82.87,15.01,1.62,0.51,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,4.668493151,1,3.747945205,0,NA,NA,0.954242509439325,3.61034071145216,2.64640372622307,2.19033169817029,1.46239799789896,0.315970345456918,2.34830486304816,1.86923171973098,0.519827993775719,0.639486489268586,2.69983772586725,-0.044242678085071,-0.999020813314648
222,222.1998,1998,1,1,1998-06-19,170,729000,4077000,"",1.3,0.9,0.7,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,0,2,46,22.29,6,4.73,"38",59.13,14.13,2.35,0.49,23.91,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,2.079452055,3,2.175342466,0,NA,NA,0.845098040014257,3.42094540592197,2.57749179983723,2.3096301674259,1.39794000867204,0.269512944217916,2.19033169817029,1.70757017609794,0.511883360978874,0.540329474790874,2.80955971463527,0.901788347648809,-0.432177944884778
226,226.1998,1998,1,1,1998-06-19,170,729000,4078000,"",1,0.8,0.7,10,0,0,NA,NA,NA,NA,0,NA,0,0,0.5,4,222,21.8,5.8,5.63,"42",56.03,17.43,1.59,0.48,24.45,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,2.306849315,2,3.224657534,0,NA,NA,1.11394335230684,3.38792346697344,2.65896484266443,2.13033376849501,1.38021124171161,0.387389826338729,2.39093510710338,1.47712125471966,0.382017042574868,0.752048447819439,2.79309160017658,0.868950838216349,-0.494898414589402
238,238.1998,1998,1,1,1998-06-19,170,732000,4075000,"",0.7,0.9,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,5,5,35,17.75,6,5.56,"32",62.23,12.02,1.63,0.96,23.17,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,1,4.254794521,0,NA,NA,0.903089986991944,3.34419571587144,2.40823996531185,2.05307844348342,1.5910646070265,0.269512944217916,2.35793484700045,1.46239799789896,0.399673721481038,0.655138434811382,2.75663610824585,-0.428182669496151,-0.903692205091507
244,244.1998,1998,1,1,1998-06-18,169,731000,4074000,"",0.9,0.9,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,270,17.19,6.1,4.29,"27",55.93,16.92,2.83,0.4,23.92,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,1,4.221917808,0,NA,NA,1,3.28397928423848,2.54282542695918,2.27875360095283,1.20411998265592,0.260071387985075,2.22271647114758,1.36172783601759,0.178976947293169,0.606381365110605,2.77158748088126,-0.176045946471211,0.984381950632505
254,254.1998,1998,1,1,1998-06-19,170,734000,4071000,"",0.8,0.9,0.5,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,5,122,24.61,6.8,6.25,"35",85.01,12.36,2.13,0.49,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.24109589,1,1998-03-23,82,1,3.62159167585922,2.56229286445647,2.3096301674259,1.44715803134222,0.328379603438738,2.47712125471966,1.70757017609794,0.54282542695918,0.639486489268586,2.63144376901317,0.498713153896394,-0.86676709105198
259,259.1998,1998,1,1,1998-06-19,170,734000,4073000,"",0.5,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0.5,15,2,28,28.17,6.2,6.08,"30",72.97,9.85,2.23,0.35,14.6,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,2,1.246575342,0,NA,NA,0.845098040014257,3.61394747678035,2.52244423350632,2.38916608436453,1.36172783601759,0.260071387985075,2.00432137378264,1.97772360528885,0.320146286111054,0.4983105537896,2.84447717574568,0.270905788307869,-0.962605866313567
