plot,plot_yr,yr,repeat_plot,grid_plot,date_samp,jul_day,easting,northing,coord_comments,grassht,forbht,woodyht,woodypct,basal_area,density,dens_c1,dens_c2,dens_c3,dens_c4,avgdens,stddens,waterpct,rockpct,barepct,slope,aspect,TEC,PH,ORG,S,BCA,BMG,BK,BNA,BH,rain6,rain7,rain8,rain9,rain10,rain11,rain12,rain1,rain2,rain3,rain4,rain5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp1,temp2,temp3,temp4,temp5,OrBis,bison,YrsOB,BP5Yrs,YrsSLB,burn,date_of_burn,jul_day_burn,logP,logCA,logMG,logK,logNA,logB,logFE,logMN,logCU,logZN,logAL,eastness,northness
205,205.1998,1998,1,1,6/18/1998,169,727000,4080000,NA,0.5,0.8,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,3,298,28.97,6.9,7.52,87,81.27,16.19,2.02,0.51,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,4.668493151,1,0.38630137,1,1/28/1998,28,1.113943352,3.67292869,2.750508395,2.357934847,1.531478917,0.307496038,2.120573931,1.763427994,0.645422269,0.898176483,2.774516966,0.436137629,-0.899879974
206,206.1998,1998,1,1,6/18/1998,169,730000,4076000,NA,1,1.2,0.7,2,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,296,19.01,6.6,5.87,33,76.14,18.24,2.71,0.5,2.41,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,2.076712329,3,1.164383562,0,NA,NA,1.079181246,3.461648568,2.619093331,2.303196057,1.342422681,0.260071388,2.139879086,1.77815125,0.348304863,0.733197265,2.7084209,0.636761251,0.771061029
208,208.1998,1998,1,1,6/18/1998,169,728000,4078000,NA,0.8,0.9,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,5,5,209,26.61,7.3,6.77,48,78.49,16.13,1.99,3.4,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,4.668493151,1,2.509589041,0,NA,NA,0.903089987,3.620864475,2.711807229,2.315970345,2.318063335,0.372912003,2.053078443,1.968482949,0.423245874,0.475671188,2.69019608,0.996466642,-0.083989475
220,220.1998,1998,1,1,6/18/1998,169,728000,4080000,NA,0.7,0.6,0.6,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,0,4,110,24.6,6.9,7.02,35,82.87,15.01,1.62,0.51,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,4.668493151,1,3.747945205,0,NA,NA,0.954242509,3.610340711,2.646403726,2.190331698,1.462397998,0.315970345,2.348304863,1.86923172,0.519827994,0.639486489,2.699837726,-0.044242678,-0.999020813
222,222.1998,1998,1,1,6/19/1998,170,729000,4077000,NA,1.3,0.9,0.7,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,0,2,46,22.29,6,4.73,38,59.13,14.13,2.35,0.49,23.91,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,2.079452055,3,2.175342466,0,NA,NA,0.84509804,3.420945406,2.5774918,2.309630167,1.397940009,0.269512944,2.190331698,1.707570176,0.511883361,0.540329475,2.809559715,0.901788348,-0.432177945
226,226.1998,1998,1,1,6/19/1998,170,729000,4078000,NA,1,0.8,0.7,10,0,0,NA,NA,NA,NA,0,NA,0,0,0.5,4,222,21.8,5.8,5.63,42,56.03,17.43,1.59,0.48,24.45,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,1,1,2.306849315,2,3.224657534,0,NA,NA,1.113943352,3.387923467,2.658964843,2.130333768,1.380211242,0.387389826,2.390935107,1.477121255,0.382017043,0.752048448,2.7930916,0.868950838,-0.494898415
238,238.1998,1998,1,1,6/19/1998,170,732000,4075000,NA,0.7,0.9,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,5,5,35,17.75,6,5.56,32,62.23,12.02,1.63,0.96,23.17,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,1,4.254794521,0,NA,NA,0.903089987,3.344195716,2.408239965,2.053078443,1.591064607,0.269512944,2.357934847,1.462397998,0.399673721,0.655138435,2.756636108,-0.428182669,-0.903692205
244,244.1998,1998,1,1,6/18/1998,169,731000,4074000,NA,0.9,0.9,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,1,270,17.19,6.1,4.29,27,55.93,16.92,2.83,0.4,23.92,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,1,4.221917808,0,NA,NA,1,3.283979284,2.542825427,2.278753601,1.204119983,0.260071388,2.222716471,1.361727836,0.178976947,0.606381365,2.771587481,-0.176045946,0.984381951
254,254.1998,1998,1,1,6/19/1998,170,734000,4071000,NA,0.8,0.9,0.5,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,5,122,24.61,6.8,6.25,35,85.01,12.36,2.13,0.49,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.24109589,1,3/23/1998,82,1,3.621591676,2.562292864,2.309630167,1.447158031,0.328379603,2.477121255,1.707570176,0.542825427,0.639486489,2.631443769,0.498713154,-0.866767091
259,259.1998,1998,1,1,6/19/1998,170,734000,4073000,NA,0.5,0.6,0,0,0,0,NA,NA,NA,NA,0,NA,0,0.5,15,2,28,28.17,6.2,6.08,30,72.97,9.85,2.23,0.35,14.6,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,2,1.246575342,0,NA,NA,0.84509804,3.613947477,2.522444234,2.389166084,1.361727836,0.260071388,2.004321374,1.977723605,0.320146286,0.498310554,2.844477176,0.270905788,-0.962605866
