    N,Site,    AX1    ,  AX2    ,  AX3    ,  AX4   ,   WEIGHT,    N2
1,1998.205,0.565,0.8669,1.0946,0.4305,38.04,49.31
2,1998.206,1.0852,0.259,0.8683,0.3616,47.81,44.79
3,1998.208,0.6019,1.0203,0.6784,0.225,47.4,38.64
4,1998.22,0.7216,0.9883,1.1645,0.471,37.97,34.28
5,1998.222,0.8951,0.6057,0.8148,0.3581,51.55,53.03
6,1998.226,0.8794,0.2196,1.5141,0.5404,48.44,42.5
7,1998.238,1.3939,0.7007,0.6536,0.5502,54.01,54.87
8,1998.244,1.2121,0.4608,0.6618,0.506,50.85,49.63
9,1998.254,1.0574,1.4186,0.7713,0.6157,39.85,40.58
10,1998.259,0.806,0.4371,0.229,0.6059,40.42,49.66
11,1998.303,1.2519,0.1947,0.8784,0.4023,51.87,66.3
12,1998.307,1.5976,0.9405,0.7357,0.6579,51.88,54.25
13,1998.308,0.396,0.714,0.9594,0.4382,34.63,38.73
14,1998.309,1.1564,0.5331,1.014,0.9351,49.93,56.31
15,1998.317,1.0952,1.2222,0.9919,0.8019,44.16,54.65
16,1998.319,0.8204,0.738,0.2256,0.6348,39.63,43.42
17,1998.331,2.1959,0.6074,0.7169,0.389,45.11,57.83
18,1998.343,1.3066,0.8159,0.8216,0.7412,40.54,36.48
19,1998.346,0.7535,0.4176,0.8701,1,48.44,53.74
20,1998.35,1.1386,0.6813,1.0521,0.624,45.32,44.69
21,1999.205,0.6541,0.8298,0.998,0.028,56.65,49.52
22,1999.206,0.891,0.1987,0.8763,0.1328,57.29,34.23
23,1999.208,0.6645,0.9905,0.6763,0.077,58.29,50.58
24,1999.22,0.7669,0.9763,1.1382,0.2531,48.48,46.09
25,1999.222,0.8095,0.4868,0.9158,0.2046,53.38,41.47
26,1999.226,0.8158,0.352,1.5368,0.361,45.86,44.12
27,1999.238,1.3427,0.5901,0.7273,0.6318,51.1,61.59
28,1999.244,1.3172,0.4489,0.6697,0.3187,56.85,54.8
29,1999.254,0.9643,1.4382,0.8084,0.669,40,39.75
30,1999.259,0.9143,0.4811,0.2673,0.5123,48.92,51.63
31,1999.303,1.3002,0.2966,0.8895,0.2827,61.34,78.4
32,1999.307,1.7463,0.985,0.6797,0.4031,60.73,64.72
33,1999.308,0.2538,0.7023,0.7714,0.5235,48.83,44.09
34,1999.309,1.2587,0.5935,0.9586,0.8337,61.96,73.95
35,1999.317,1.1022,1.358,0.946,0.5585,52.28,57.68
36,1999.319,0.877,0.7915,0.1452,0.4142,50.11,42.98
37,1999.331,2.1959,0.7336,0.623,0.5104,51.48,50.82
38,1999.343,1.4327,0.809,0.8103,0.6037,48.4,37.13
39,1999.346,0.7601,0.4385,0.828,0.8382,52.12,59.41
40,1999.35,1.3542,0.6493,1.2668,0.4799,48.75,58.39
41,2000.205,0.6194,0.8168,0.9221,0.1785,50.51,55.79
42,2000.206,1.0085,0.2618,0.8117,0.3141,52.04,54.3
43,2000.208,0.5385,1.0291,0.784,0.2336,54.47,50.23
44,2000.22,0.7914,1.0482,1.0893,0.3499,58.02,49.61
45,2000.222,0.9466,0.566,0.8136,0.1449,57.66,62.08
46,2000.226,0.8476,0.4705,1.4803,0.2712,53.19,51.37
47,2000.238,1.4476,0.5947,0.693,0.4593,59.92,67.74
48,2000.244,1.1238,0.5274,0.7237,0.4084,50.81,54.11
49,2000.254,1.0347,1.6511,0.8904,0.8112,44.92,45.13
50,2000.259,0.7235,0.5525,0.2279,0.7168,43.1,48.83
51,2000.303,1.2172,0.1691,0.8775,0.4548,63.66,74.28
52,2000.307,1.6876,1.0465,0.7565,0.7427,58.36,51.3
53,2000.308,0.2154,0.5615,0.7376,0.539,49.78,37.07
54,2000.309,1.2635,0.5219,1.0438,1.0399,62.12,78.48
55,2000.317,1.0173,1.3505,1.084,0.7327,48.63,40.21
56,2000.319,0.7857,0.7405,0.176,0.5365,48.1,45.81
57,2000.331,2.0373,0.8071,0.672,0.744,47.97,44.52
58,2000.343,1.3103,0.9156,0.7703,0.7872,46.99,48.29
59,2000.346,0.7552,0.4315,0.8914,0.8921,55.05,55.05
60,2000.35,1.3,0.7258,1.2951,0.6747,49.12,52.61
61,2001.205,0.5895,0.7676,1.0684,0.182,57.34,56.81
62,2001.206,1.0289,0.3197,0.7322,0.293,58.41,66.2
63,2001.208,0.6331,0.9857,0.6598,0.37,56.36,49.54
64,2001.22,0.7945,0.8875,1.0435,0.2389,60.94,54.15
65,2001.222,1.0689,0.5442,0.6778,0,69.21,81.19
66,2001.226,0.9159,0.3152,1.3833,0.3694,58.54,58.1
67,2001.238,1.537,0.5644,0.7635,0.4314,67.46,68.76
68,2001.244,1.3099,0.5433,0.753,0.3217,63.26,56.4
69,2001.254,0.9251,1.52,0.8971,0.6374,40.91,29.04
70,2001.259,0.9411,0.4825,0.1755,0.6241,52.29,63.2
71,2001.303,1.2063,0.1869,0.9908,0.3936,67.48,76.66
72,2001.307,1.6616,0.9063,0.7283,0.5563,65.85,79.04
73,2001.308,0.214,0.5384,0.7002,0.6155,48.29,42.65
74,2001.309,1.185,0.4565,0.9599,1.0273,58.93,66.48
75,2001.317,1.1554,1.3236,0.8875,0.5134,61.39,63.28
76,2001.319,0.8325,0.8423,0.0221,0.2285,57.94,61.78
77,2001.331,2.1614,0.7747,0.605,0.338,51.78,60.98
78,2001.343,1.4731,0.8812,0.7382,0.541,55.96,61.32
79,2001.346,0.8075,0.4044,0.7658,1.0093,60.44,63.04
80,2001.35,1.3452,0.7611,1.1132,0.5433,63.94,68.2
81,2002.205,0.7795,0.8406,0.8905,0.1325,63.11,59.53
82,2002.206,1.0511,0.4412,0.6489,0.24,60.59,60.26
83,2002.208,0.6386,0.9628,0.5683,0.3413,55.83,54.3
84,2002.22,0.8638,0.8171,1.0787,0.2468,48.99,43.33
85,2002.222,1.0637,0.5468,0.6179,0.0508,66.86,75.65
86,2002.226,1.0409,0.3939,1.3804,0.5019,61.4,58.72
87,2002.238,1.4818,0.5059,0.6812,0.4995,62.93,62.53
88,2002.244,1.2449,0.5094,0.6921,0.3927,60.33,64.1
89,2002.254,0.8697,1.5811,0.8332,0.4845,45.3,31.07
90,2002.259,0.8373,0.4822,0,0.7219,45.07,48.35
91,2002.303,1.1929,0.1924,0.9135,0.4704,71.76,63.97
92,2002.307,1.61,0.9789,0.6762,0.6959,54.83,54.5
93,2002.308,0.1543,0.5238,0.7647,0.6344,49.29,34.39
