    N,      NAME,    AX1    ,  AX2    ,  AX3    ,  AX4   ,   WEIGHT,    N2
1, acal grac ,2.1856,0.1671,-0.0439,1.4289,77.16,110.97
2, acal virg ,0.6878,1.4975,2.1157,1.0433,108.8,153.4
3, achi mill ,1.8274,0.0605,0.5499,0.2435,122.44,172.26
4, aegi cyli ,2.9096,0.2296,-0.5597,-1.1994,0.62,6.27
5, agal hete ,3.3385,1.9374,1.4208,1.7051,15.03,30.02
6, agri parv ,2.1754,1.9973,2.7198,-0.4278,1.26,9.08
7, agro elli ,4.8832,0.2739,-0.0164,0.6404,0.19,3.55
8, agro hyem ,1.9895,0.1599,0.9934,0.9861,100.32,140.74
9, alli cana ,-1.1375,2.0812,-0.32,-1.1928,3.16,14
10, alop caro ,3.2409,1.1197,1.5351,3.0962,0.06,2
11, ambr arte ,0.9115,2.3999,1.5072,0.0664,104.95,83.69
12, ambr bide ,2.5884,1.7777,1.4787,0.975,158.56,84.5
13, ambr psil ,1.3697,0.6599,0.3029,0.4163,306.55,160.77
14, amor cane ,0.9294,-0.5239,2.2061,0.2755,111,117.32
15, amor frut ,-0.2333,-3.2865,6.9985,1.2762,0.79,7
16, amph drac ,0.6098,1.2185,-0.8077,-0.2173,97.88,94.36
17, anag mini ,2.9381,2.0903,2.1498,0.0867,1.98,11.79
18, andr gera ,0.5208,0.7857,1.0997,0.2228,556.63,191.49
19, andr virg ,1.564,0.071,-0.1174,1.3541,89.83,109
20, anem caro ,1.0315,0.2663,-0.0133,-2.4807,2.91,13.9
21, ante negl ,1.9572,-1.8334,0.8416,2.3561,42.15,57.29
22, apoc cann ,0.4172,-1.2413,4.0271,-1.2152,26.34,40.53
23, aren serp ,3.2538,0.9046,-1.6808,-0.7496,4.9,17.88
24, aris olig ,-1.7484,2.3691,-0.0106,-6.8583,0.02,1
25, aris purp ,2.8954,-0.9613,-0.8839,-2.3091,0.08,2.27
26, arno plan ,0.2612,1.0588,2.0375,1.3582,20.83,35.88
27, arte ludo ,-0.012,-0.6458,-0.41,0.556,107.63,94.17
28, ascl sten ,1.6918,-2.1194,-1.6644,-0.7615,6.08,19.53
29, ascl tube ,-4.724,0.5411,0.9988,0.3428,0.58,6
30, ascl vert ,0.667,-1.0384,1.9981,6.7948,7.68,22.06
31, ascl viri ,1.1369,0.5611,0.6418,1.3836,189.18,191.37
32, aste eric ,0.3805,1.1207,0.8223,0.5332,169.72,188.26
33, aste oole ,2.4277,-0.4952,-0.1568,-0.5001,50.73,69.52
34, aste pate ,2.6332,-2.1385,0.3441,-1.2127,8.9,21.89
35, aste pilo ,2.1235,-3.5035,-0.145,-3.8146,0.06,2
36, aste prae ,1.9679,-0.6315,2.2307,-0.8126,5.95,17.14
37, astr cras ,-1.3711,1.0362,-2.1602,1.1092,9.3,24
38, astr nutt ,2.3153,-2.8736,-0.5344,-6.828,0.06,2
39, bapt alba ,0.5445,0.1313,3.6919,0.4701,39.8,56.53
40, bapt aust ,-0.5443,-1.21,1.0155,1.9536,38.48,54.79
41, bapt brac ,0.2946,-0.6925,0.444,-0.4648,70.88,57.4
42, bide fron ,-1.0664,2.0864,4.861,-4.3174,0,1
43, both sacc ,0.7983,1.4898,-1.2006,1.1497,61.47,68.05
44, bout curt ,-0.8391,-0.254,-2.0182,0.7558,52.18,61.81
45, bout hirs ,-0.9698,-2.1951,1.1608,7.0387,0.02,1
46, bric eupa ,-0.7827,-1.4136,-1.1769,1.6561,48.1,66.04
47, brom japo ,1.7306,2.0364,0.5824,-0.8724,162.26,96.97
48, buch amer ,2.3254,-1.3323,2.578,6.4139,0.02,1
49, buch dact ,0.7658,0.3642,-1.5983,2.1165,61.84,71.38
50, call alca ,1.0228,0.971,0.1412,-0.7483,76.66,109.64
51, caly serr ,3.0581,-0.6694,0.0078,-0.3336,1.37,9.26
52, care amph ,1.6843,-0.2288,1.6879,1.136,36.87,52.26
53, care anne ,-0.0187,5.6689,0.1958,2.1649,0.79,7
54, care bush ,1.2836,0.8266,1.7885,0.8532,109.8,155.53
55, care ceph ,1.4009,0.782,0.5676,-0.0048,82.02,116
56, care fest ,0.9752,1.0393,0.921,0.8691,152.95,206.99
57, care fran ,-0.8188,7.8221,3.0677,0.3562,0.02,1
58, care grav ,1.7122,0.7683,0.1775,0.4111,109.19,154.79
59, care micr ,0.0495,1.9538,0.193,0.6013,133.76,131.06
60, celt occi ,3.0184,0.5121,-0.4062,-1.8285,0.02,1.28
61, cera font ,2.3455,1.6027,-0.382,-0.4331,27.33,41.76
62, cerc cana ,4.611,1.9423,0.2472,2.6727,0.01,2
63, chae aste ,5.9547,0.942,-0.1495,0.3977,0.04,1.91
64, chae tain ,0.4711,0.5616,-0.9568,-3.006,17.4,33.4
65, cham fasc ,2.6529,0.787,1.9373,1.3746,62.02,88.32
66, cham macu ,2.2219,2.0936,-0.5284,3.3344,0,1
67, cham nuta ,0.8235,0.3055,0.1046,1.3046,75.02,109.74
68, chlo vert ,2.1518,-0.3766,-2.7846,2.4455,4.13,16
69, chry pilo ,4.2326,-0.0223,0.1796,-0.4698,8.69,23.26
70, cirs alti ,0.0781,1.456,1.9721,-0.9522,93.17,128.53
71, cirs undu ,0.6245,-0.9839,-2.8182,-1.4322,38.89,55
72, cirs vulg ,-0.8668,3.1024,1.5699,-0.5993,0.31,4.54
73, coel cyli ,-1.4499,1.8195,-4.851,2.9123,0.02,1
74, cony cana ,2.2325,0.8371,-0.2525,-0.5902,77.87,111.8
75, core gran ,2.6351,1.4325,1.8988,2.5216,25.82,40
76, core tinc ,3.3116,2.0113,2.1479,-0.9409,0.06,2
77, crot capi ,1.9103,-0.0065,-0.7996,-1.2079,3.16,14
78, crot glan ,3.8753,0.571,0.6658,0.7745,20.03,34.6
79, crot mona ,-0.0348,0.085,-0.7161,0.701,56.45,81.45
80, crot sagi ,3.5415,1.032,0.2648,-0.6256,1.43,9.53
81, crot will ,6.0504,1.1264,1.0989,1.6249,0.31,4.54
82, cusc pent ,0.2268,0.3445,0.3508,1.5555,63.53,91.45
83, cyno dact ,2.9439,3.6709,1.3213,1.2072,11.62,18.35
84, cype acum ,2.1682,2.3835,2.0492,3.4751,0.08,2.27
85, cype echi ,2.4788,1.9254,1.6391,1.4255,73.84,104.79
86, cype lupu ,2.1967,-0.454,0.2218,1.458,99.29,140.79
87, cype pseu ,2.5018,2.1142,2.1539,2.6453,5,17.8
88, cype seti ,-0.2597,4.0378,1.1684,1.7189,29.89,28.84
89, cype squa ,2.2955,-0.9217,2.2426,6.5225,0.06,2
90, cype stri ,3.165,2.0609,0.8405,2.8564,0.4,5
91, dale cand ,0.3084,-0.993,1.5581,1.2765,55.85,79.85
92, dale mult ,-2.5145,2.4505,-1.1045,2.6769,0.58,6
93, dale purp ,0.6032,-0.7699,-1.0225,-2.7989,20.91,36
94, dauc pusi ,3.8429,-0.229,-0.1544,-1.6472,10.1,25.33
95, delp caro ,-1.7703,0.7419,-2.2611,-0.6542,2.65,13.07
96, desm cili ,4.0073,-0.3673,-0.3437,-1.199,7.25,21.26
97, desm illi ,0.2281,2.2885,0.8002,-0.3752,5.12,18.07
98, desm ills ,-0.7145,-0.4587,1.4367,-2.6309,38.38,54.53
99, desm lept ,-2.0442,2.0151,0.4594,1.1321,11.63,23.11
100, desm mari ,-0.3872,-3.3438,7.4193,1.5065,0.4,5
101, desm pani ,0.9078,-0.5311,1.2281,-2.5672,17.79,33.26
102, desm sess ,2.3167,-1.0421,1.7672,-1.2951,60.8,86.85
103, dich acum ,2.2493,0.7015,1.9095,0.7783,96.27,136.26
104, dich olig ,0.8324,0.9114,0.7757,0.8325,152.49,209.5
105, dich spha ,3.3548,-1.0427,0.2794,1.2807,31.82,45
106, digi cogn ,2.4218,0.3657,0.0528,1.3459,112.87,133.37
107, digi sang ,3.4471,1.6515,-0.7451,1.6845,39.57,38.53
108, diod tere ,3.8933,0.1932,1.3197,2.1886,25,33.81
109, drab brac ,1.0459,-1.2326,-1.4688,-4.6876,0,1
110, drab cune ,-0.1589,-0.3894,-1.1759,-1.8604,0.02,3
111, drac ampl ,-0.9989,2.0724,-1.2663,-1.6721,20.51,34.59
112, echi pall ,2.6792,1.8077,0.0507,1.9595,0.02,1
113, eleo mont ,0.9026,3.0754,2.1057,1.4651,98.77,74.46
114, elym cana ,0.1762,2.0247,1.5274,0.0654,130.72,119.9
115, elym virg ,0.144,0.9535,1.0793,-0.2725,199.33,149.36
